
courselevel(course0, level_500).
courselevel(course101, level_500).
courselevel(course103, level_500).
courselevel(course104, level_300).
courselevel(course107, level_400).
courselevel(course108, level_500).
courselevel(course109, level_500).
courselevel(course110, level_400).
courselevel(course114, level_500).
courselevel(course115, level_500).
courselevel(course117, level_500).
courselevel(course118, level_400).
courselevel(course119, level_500).
courselevel(course11, level_300).
courselevel(course121, level_500).
courselevel(course122, level_400).
courselevel(course123, level_500).
courselevel(course124, level_300).
courselevel(course125, level_400).
courselevel(course126, level_400).
courselevel(course128, level_400).
courselevel(course12, level_500).
courselevel(course131, level_500).
courselevel(course132, level_500).
courselevel(course134, level_500).
courselevel(course135, level_500).
courselevel(course136, level_500).
courselevel(course137, level_400).
courselevel(course138, level_500).
courselevel(course13, level_500).
courselevel(course141, level_500).
courselevel(course143, level_400).
courselevel(course144, level_500).
courselevel(course146, level_300).
courselevel(course147, level_300).
courselevel(course148, level_400).
courselevel(course149, level_500).
courselevel(course150, level_500).
courselevel(course152, level_500).
courselevel(course153, level_500).
courselevel(course154, level_400).
courselevel(course155, level_500).
courselevel(course156, level_500).
courselevel(course157, level_400).
courselevel(course158, level_500).
courselevel(course159, level_400).
courselevel(course15, level_500).
courselevel(course160, level_500).
courselevel(course161, level_400).
courselevel(course164, level_400).
courselevel(course165, level_300).
courselevel(course168, level_500).
courselevel(course169, level_500).
courselevel(course16, level_500).
courselevel(course170, level_500).
courselevel(course172, level_500).
courselevel(course173, level_500).
courselevel(course19, level_500).
courselevel(course1, level_500).
courselevel(course24, level_400).
courselevel(course27, level_400).
courselevel(course28, level_400).
courselevel(course29, level_500).
courselevel(course32, level_500).
courselevel(course35, level_500).
courselevel(course36, level_500).
courselevel(course39, level_500).
courselevel(course3, level_500).
courselevel(course40, level_500).
courselevel(course41, level_400).
courselevel(course44, level_400).
courselevel(course46, level_500).
courselevel(course49, level_400).
courselevel(course50, level_500).
courselevel(course51, level_400).
courselevel(course52, level_400).
courselevel(course53, level_400).
courselevel(course54, level_500).
courselevel(course56, level_500).
courselevel(course57, level_400).
courselevel(course63, level_500).
courselevel(course64, level_500).
courselevel(course65, level_500).
courselevel(course66, level_500).
courselevel(course67, level_500).
courselevel(course68, level_400).
courselevel(course71, level_500).
courselevel(course76, level_500).
courselevel(course77, level_500).
courselevel(course79, level_500).
courselevel(course7, level_500).
courselevel(course82, level_400).
courselevel(course83, level_500).
courselevel(course84, level_500).
courselevel(course85, level_500).
courselevel(course86, level_500).
courselevel(course89, level_400).
courselevel(course91, level_500).
courselevel(course93, level_400).
courselevel(course97, level_400).
courselevel(course98, level_500).
hasposition(person103, faculty_affiliate).
hasposition(person111, faculty_adjunct).
hasposition(person115, faculty).
hasposition(person150, faculty).
hasposition(person165, faculty).
hasposition(person168, faculty).
hasposition(person171, faculty).
hasposition(person185, faculty_adjunct).
hasposition(person189, faculty_adjunct).
hasposition(person201, faculty).
hasposition(person211, faculty).
hasposition(person240, faculty).
hasposition(person279, faculty).
hasposition(person292, faculty_affiliate).
hasposition(person293, faculty_affiliate).
hasposition(person298, faculty).
hasposition(person29, faculty_adjunct).
hasposition(person319, faculty).
hasposition(person324, faculty).
hasposition(person331, faculty).
hasposition(person335, faculty).
hasposition(person342, faculty).
hasposition(person349, faculty_adjunct).
hasposition(person351, faculty).
hasposition(person378, faculty).
hasposition(person393, faculty).
hasposition(person394, faculty).
hasposition(person407, faculty).
hasposition(person40, faculty).
hasposition(person415, faculty).
hasposition(person46, faculty).
hasposition(person52, faculty).
hasposition(person5, faculty).
hasposition(person72, faculty).
hasposition(person79, faculty).
hasposition(person7, faculty_adjunct).
inphase(person113, post_generals).
inphase(person118, post_generals).
inphase(person122, post_quals).
inphase(person139, post_quals).
inphase(person13, post_generals).
inphase(person141, post_generals).
inphase(person142, post_generals).
inphase(person148, post_quals).
inphase(person149, post_quals).
inphase(person14, post_generals).
inphase(person157, post_quals).
inphase(person159, post_quals).
inphase(person161, post_generals).
inphase(person163, post_quals).
inphase(person172, pre_quals).
inphase(person176, post_quals).
inphase(person182, post_quals).
inphase(person183, pre_quals).
inphase(person18, pre_quals).
inphase(person191, post_quals).
inphase(person193, pre_quals).
inphase(person200, post_quals).
inphase(person205, pre_quals).
inphase(person206, post_generals).
inphase(person208, post_quals).
inphase(person20, pre_quals).
inphase(person217, post_generals).
inphase(person21, post_generals).
inphase(person226, post_quals).
inphase(person228, post_quals).
inphase(person233, pre_quals).
inphase(person239, post_quals).
inphase(person241, post_quals).
inphase(person242, post_generals).
inphase(person249, post_generals).
inphase(person257, post_generals).
inphase(person262, post_generals).
inphase(person263, post_generals).
inphase(person265, post_generals).
inphase(person266, post_quals).
inphase(person270, pre_quals).
inphase(person272, post_quals).
inphase(person275, post_generals).
inphase(person276, pre_quals).
inphase(person278, pre_quals).
inphase(person27, pre_quals).
inphase(person283, pre_quals).
inphase(person284, post_quals).
inphase(person286, post_quals).
inphase(person288, post_generals).
inphase(person300, post_generals).
inphase(person303, post_quals).
inphase(person309, post_quals).
inphase(person311, post_quals).
inphase(person312, pre_quals).
inphase(person314, post_generals).
inphase(person318, pre_quals).
inphase(person320, post_quals).
inphase(person333, pre_quals).
inphase(person348, post_quals).
inphase(person352, post_generals).
inphase(person353, post_quals).
inphase(person361, post_generals).
inphase(person362, post_quals).
inphase(person363, pre_quals).
inphase(person377, pre_quals).
inphase(person37, pre_quals).
inphase(person380, post_generals).
inphase(person381, post_generals).
inphase(person382, post_quals).
inphase(person383, pre_quals).
inphase(person384, post_quals).
inphase(person390, pre_quals).
inphase(person404, post_generals).
inphase(person406, post_generals).
inphase(person408, pre_quals).
inphase(person412, post_quals).
inphase(person416, pre_quals).
inphase(person418, post_quals).
inphase(person41, post_quals).
inphase(person422, post_quals).
inphase(person427, post_quals).
inphase(person429, post_quals).
inphase(person42, pre_quals).
inphase(person431, pre_quals).
inphase(person432, post_quals).
inphase(person435, post_quals).
inphase(person45, post_generals).
inphase(person51, pre_quals).
inphase(person63, post_generals).
inphase(person68, post_generals).
inphase(person6, post_quals).
inphase(person70, pre_quals).
inphase(person73, post_quals).
inphase(person75, post_generals).
inphase(person81, post_generals).
inphase(person83, post_quals).
inphase(person94, pre_quals).
inphase(person96, post_generals).
inphase(person9, post_generals).
professor(person103).
professor(person111).
professor(person115).
professor(person150).
professor(person165).
professor(person166).
professor(person168).
professor(person171).
professor(person181).
professor(person185).
professor(person189).
professor(person201).
professor(person211).
professor(person231).
professor(person240).
professor(person248).
professor(person279).
professor(person29).
professor(person292).
professor(person293).
professor(person298).
professor(person319).
professor(person324).
professor(person331).
professor(person335).
professor(person342).
professor(person349).
professor(person351).
professor(person364).
professor(person370).
professor(person378).
professor(person393).
professor(person394).
professor(person40).
professor(person407).
professor(person415).
professor(person46).
professor(person5).
professor(person52).
professor(person57).
professor(person64).
professor(person7).
professor(person72).
professor(person79).
projectmember(project119, person201).
projectmember(project130, person324).
projectmember(project152, person201).
projectmember(project62, person319).
projectmember(project94, person324).
publication(title0 , person240).
publication(title0 , person415).
publication(title100 , person113).
publication(title100 , person41).
publication(title102 , person240).
publication(title102 , person257).
publication(title103 , person240).
publication(title103 , person292).
publication(title103 , person352).
publication(title103 , person415).
publication(title104 , person165).
publication(title104 , person242).
publication(title104 , person29).
publication(title105 , person324).
publication(title105 , person331).
publication(title106 , person335).
publication(title106 , person5).
publication(title107 , person314).
publication(title107 , person415).
publication(title109 , person342).
publication(title109 , person393).
publication(title109 , person81).
